global_round,missing_threshold,recall,specificity,precision,average_accuracy,f1_score,mcc,TP,FP,TN,FN
5,0.1,1.0,0.9962406015037594,0.6666666666666666,0.9981203007518797,0.8,0.814960367749565,10,5,1325,0
5,0.15,1.0,0.9977443609022556,0.7692307692307693,0.9988721804511278,0.8695652173913044,0.8760682976985895,10,3,1327,0
5,0.2,1.0,0.9984962406015038,0.8333333333333334,0.9992481203007519,0.9090909090909091,0.9121843018278999,10,2,1328,0
5,0.25,1.0,0.9984962406015038,0.8333333333333334,0.9992481203007519,0.9090909090909091,0.9121843018278999,10,2,1328,0
5,0.3,1.0,0.9984962406015038,0.8333333333333334,0.9992481203007519,0.9090909090909091,0.9121843018278999,10,2,1328,0
5,0.35,1.0,0.9984962406015038,0.8333333333333334,0.9992481203007519,0.9090909090909091,0.9121843018278999,10,2,1328,0
5,0.4,1.0,1.0,1.0,1.0,1.0,1.0,10,0,1330,0
5,0.45,1.0,1.0,1.0,1.0,1.0,1.0,10,0,1330,0
5,0.5,0.9,1.0,1.0,0.95,0.9473684210526316,0.9483268511853856,9,0,1330,1
5,0.55,0.8,1.0,1.0,0.9,0.888888888888889,0.8937554468638492,8,0,1330,2
5,0.6,0.7,1.0,1.0,0.85,0.8235294117647058,0.8357180183240863,7,0,1330,3
5,0.65,0.7,1.0,1.0,0.85,0.8235294117647058,0.8357180183240863,7,0,1330,3
5,0.7,0.7,1.0,1.0,0.85,0.8235294117647058,0.8357180183240863,7,0,1330,3
5,0.75,0.5,1.0,1.0,0.75,0.6666666666666666,0.7057813689974891,5,0,1330,5
5,0.8,0.5,1.0,1.0,0.75,0.6666666666666666,0.7057813689974891,5,0,1330,5
5,0.85,0.3,1.0,1.0,0.65,0.4615384615384615,0.5462868471524166,3,0,1330,7
5,0.9,0.1,1.0,1.0,0.55,0.18181818181818182,0.3151632221713219,1,0,1330,9
5,0.95,0.0,1.0,0.0,0.5,0.0,0.0,0,0,1330,10
5,1.0,0.0,1.0,0.0,0.5,0.0,0.0,0,0,1330,10
10,0.1,1.0,0.9902255639097745,0.43478260869565216,0.9951127819548873,0.6060606060606061,0.6561500239075015,10,13,1317,0
10,0.15,1.0,0.9917293233082707,0.47619047619047616,0.9958646616541353,0.6451612903225806,0.6872059798329931,10,11,1319,0
10,0.2,1.0,0.9954887218045113,0.625,0.9977443609022556,0.7692307692307693,0.7887841600386126,10,6,1324,0
10,0.25,1.0,0.9969924812030075,0.7142857142857143,0.9984962406015038,0.8333333333333333,0.8438823890647184,10,4,1326,0
10,0.3,1.0,0.9984962406015038,0.8333333333333334,0.9992481203007519,0.9090909090909091,0.9121843018278999,10,2,1328,0
10,0.35,1.0,1.0,1.0,1.0,1.0,1.0,10,0,1330,0
10,0.4,1.0,1.0,1.0,1.0,1.0,1.0,10,0,1330,0
10,0.45,0.9,1.0,1.0,0.95,0.9473684210526316,0.9483268511853856,9,0,1330,1
10,0.5,0.9,1.0,1.0,0.95,0.9473684210526316,0.9483268511853856,9,0,1330,1
10,0.55,0.8,1.0,1.0,0.9,0.888888888888889,0.8937554468638492,8,0,1330,2
10,0.6,0.7,1.0,1.0,0.85,0.8235294117647058,0.8357180183240863,7,0,1330,3
10,0.65,0.7,1.0,1.0,0.85,0.8235294117647058,0.8357180183240863,7,0,1330,3
10,0.7,0.6,1.0,1.0,0.8,0.7499999999999999,0.7734344830366855,6,0,1330,4
10,0.75,0.6,1.0,1.0,0.8,0.7499999999999999,0.7734344830366855,6,0,1330,4
10,0.8,0.5,1.0,1.0,0.75,0.6666666666666666,0.7057813689974891,5,0,1330,5
10,0.85,0.4,1.0,1.0,0.7,0.5714285714285715,0.6310337493465553,4,0,1330,6
10,0.9,0.3,1.0,1.0,0.65,0.4615384615384615,0.5462868471524166,3,0,1330,7
10,0.95,0.1,1.0,1.0,0.55,0.18181818181818182,0.3151632221713219,1,0,1330,9
10,1.0,0.0,1.0,0.0,0.5,0.0,0.0,0,0,1330,10
15,0.1,1.0,0.9947368421052631,0.5882352941176471,0.9973684210526316,0.7407407407407407,0.7649439972216586,10,7,1323,0
15,0.15,1.0,0.9954887218045113,0.625,0.9977443609022556,0.7692307692307693,0.7887841600386126,10,6,1324,0
15,0.2,1.0,0.9954887218045113,0.625,0.9977443609022556,0.7692307692307693,0.7887841600386126,10,6,1324,0
15,0.25,1.0,0.9969924812030075,0.7142857142857143,0.9984962406015038,0.8333333333333333,0.8438823890647184,10,4,1326,0
15,0.3,1.0,0.9969924812030075,0.7142857142857143,0.9984962406015038,0.8333333333333333,0.8438823890647184,10,4,1326,0
15,0.35,1.0,0.9984962406015038,0.8333333333333334,0.9992481203007519,0.9090909090909091,0.9121843018278999,10,2,1328,0
15,0.4,1.0,1.0,1.0,1.0,1.0,1.0,10,0,1330,0
15,0.45,0.9,1.0,1.0,0.95,0.9473684210526316,0.9483268511853856,9,0,1330,1
15,0.5,0.8,1.0,1.0,0.9,0.888888888888889,0.8937554468638492,8,0,1330,2
15,0.55,0.8,1.0,1.0,0.9,0.888888888888889,0.8937554468638492,8,0,1330,2
15,0.6,0.8,1.0,1.0,0.9,0.888888888888889,0.8937554468638492,8,0,1330,2
15,0.65,0.8,1.0,1.0,0.9,0.888888888888889,0.8937554468638492,8,0,1330,2
15,0.7,0.6,1.0,1.0,0.8,0.7499999999999999,0.7734344830366855,6,0,1330,4
15,0.75,0.6,1.0,1.0,0.8,0.7499999999999999,0.7734344830366855,6,0,1330,4
15,0.8,0.6,1.0,1.0,0.8,0.7499999999999999,0.7734344830366855,6,0,1330,4
15,0.85,0.5,1.0,1.0,0.75,0.6666666666666666,0.7057813689974891,5,0,1330,5
15,0.9,0.3,1.0,1.0,0.65,0.4615384615384615,0.5462868471524166,3,0,1330,7
15,0.95,0.1,1.0,1.0,0.55,0.18181818181818182,0.3151632221713219,1,0,1330,9
15,1.0,0.0,1.0,0.0,0.5,0.0,0.0,0,0,1330,10
20,0.1,1.0,0.9939849624060151,0.5555555555555556,0.9969924812030075,0.7142857142857143,0.7431109392300329,10,8,1322,0
20,0.15,1.0,0.9954887218045113,0.625,0.9977443609022556,0.7692307692307693,0.7887841600386126,10,6,1324,0
20,0.2,1.0,0.9969924812030075,0.7142857142857143,0.9984962406015038,0.8333333333333333,0.8438823890647184,10,4,1326,0
20,0.25,1.0,0.9969924812030075,0.7142857142857143,0.9984962406015038,0.8333333333333333,0.8438823890647184,10,4,1326,0
20,0.3,1.0,0.9969924812030075,0.7142857142857143,0.9984962406015038,0.8333333333333333,0.8438823890647184,10,4,1326,0
20,0.35,1.0,0.9984962406015038,0.8333333333333334,0.9992481203007519,0.9090909090909091,0.9121843018278999,10,2,1328,0
20,0.4,1.0,1.0,1.0,1.0,1.0,1.0,10,0,1330,0
20,0.45,1.0,1.0,1.0,1.0,1.0,1.0,10,0,1330,0
20,0.5,0.9,1.0,1.0,0.95,0.9473684210526316,0.9483268511853856,9,0,1330,1
20,0.55,0.9,1.0,1.0,0.95,0.9473684210526316,0.9483268511853856,9,0,1330,1
20,0.6,0.7,1.0,1.0,0.85,0.8235294117647058,0.8357180183240863,7,0,1330,3
