global_round,entropy_ratio,recall,specificity,precision,average_accuracy,f1_score,mcc,TP,FP,TN,FN
5,0.1,0.1,1.0,1.0,0.55,0.18181818181818182,0.3151632221713219,1,0,1330,9
5,0.15,0.1,1.0,1.0,0.55,0.18181818181818182,0.3151632221713219,1,0,1330,9
5,0.2,0.4,1.0,1.0,0.7,0.5714285714285715,0.6310337493465553,4,0,1330,6
5,0.25,0.5,1.0,1.0,0.75,0.6666666666666666,0.7057813689974891,5,0,1330,5
5,0.3,0.8,1.0,1.0,0.9,0.888888888888889,0.8937554468638492,8,0,1330,2
5,0.35,0.9,1.0,1.0,0.95,0.9473684210526316,0.9483268511853856,9,0,1330,1
5,0.4,1.0,1.0,1.0,1.0,1.0,1.0,10,0,1330,0
5,0.45,1.0,1.0,1.0,1.0,1.0,1.0,10,0,1330,0
5,0.5,1.0,1.0,1.0,1.0,1.0,1.0,10,0,1330,0
5,0.55,1.0,1.0,1.0,1.0,1.0,1.0,10,0,1330,0
5,0.6,1.0,1.0,1.0,1.0,1.0,1.0,10,0,1330,0
5,0.65,1.0,1.0,1.0,1.0,1.0,1.0,10,0,1330,0
5,0.7,1.0,1.0,1.0,1.0,1.0,1.0,10,0,1330,0
5,0.75,1.0,1.0,1.0,1.0,1.0,1.0,10,0,1330,0
5,0.8,1.0,0.9984962406015038,0.8333333333333334,0.9992481203007519,0.9090909090909091,0.9121843018278999,10,2,1328,0
5,0.85,1.0,0.9977443609022556,0.7692307692307693,0.9988721804511278,0.8695652173913044,0.8760682976985895,10,3,1327,0
5,0.9,1.0,0.9962406015037594,0.6666666666666666,0.9981203007518797,0.8,0.814960367749565,10,5,1325,0
5,0.95,1.0,0.9947368421052631,0.5882352941176471,0.9973684210526316,0.7407407407407407,0.7649439972216586,10,7,1323,0
5,1.0,1.0,0.9947368421052631,0.5882352941176471,0.9973684210526316,0.7407407407407407,0.7649439972216586,10,7,1323,0
